,carpark_number,lot_type,lots_available,total_lots,update_datetime
0,CK24,C,19,38,2019-12-08T01:27:30
0,STAM,C,83,242,2019-12-08T01:32:03
1,STAM,Y,0,0,2019-12-08T01:32:03
2,STAM,H,0,0,2019-12-08T01:32:03
0,AM79,C,174,479,2019-12-08T01:33:33
0,A34,C,49,216,2019-12-08T01:33:30
0,AM96,C,974,1292,2019-12-08T01:33:19
0,A85,C,19,89,2019-12-08T01:33:33
0,A72,C,80,358,2019-12-08T01:33:32
0,A67,C,97,605,2019-12-08T01:33:37
0,JMSU,C,0,1052,2018-11-30T11:23:35
0,JMSC,C,443,644,2018-11-30T11:26:13
0,BMVM,C,165,361,2019-12-08T01:35:05
1,BMVM,Y,8,54,2019-12-08T01:35:05
2,BMVM,H,0,1,2019-12-08T01:35:05
0,HE3,C,92,148,2019-12-08T01:33:10
1,HE3,Y,1,53,2019-12-08T01:33:10
2,HE3,H,0,1,2019-12-08T01:33:10
0,TB2,C,10,51,2019-12-08T01:33:05
1,TB2,Y,0,18,2019-12-08T01:33:05
2,TB2,H,0,1,2019-12-08T01:33:05
0,JKM,C,248,360,2019-12-08T01:33:05
1,JKM,Y,99,111,2019-12-08T01:33:05
2,JKM,H,0,1,2019-12-08T01:33:05
0,JKS,C,32,42,2019-12-08T01:33:06
1,JKS,Y,1,37,2019-12-08T01:33:06
2,JKS,H,0,1,2019-12-08T01:33:06
0,SPM,C,308,719,2019-12-08T01:26:50
1,SPM,H,0,1,2019-12-08T01:26:50
2,SPM,Y,40,57,2019-12-08T01:26:50
0,FR2C,C,146,315,2019-12-08T01:33:04
1,FR2C,Y,13,73,2019-12-08T01:33:04
2,FR2C,H,0,1,2019-12-08T01:33:04
0,GM1A,C,290,414,2019-12-08T01:26:52
1,GM1A,Y,0,180,2019-12-08T01:26:52
2,GM1A,H,0,1,2019-12-08T01:26:52
0,AR5M,C,253,419,2019-12-08T01:26:58
1,AR5M,H,50,1,2019-12-08T01:26:58
0,AR9,C,0,64,2019-12-08T01:32:58
1,AR9,Y,0,24,2019-12-08T01:32:58
2,AR9,H,50,1,2019-12-08T01:32:58
0,C5,C,156,479,2019-12-08T01:33:06
1,C5,Y,33,204,2019-12-08T01:33:06
2,C5,H,0,1,2019-12-08T01:33:06
0,C9,C,145,316,2019-12-08T01:33:07
1,C9,Y,85,125,2019-12-08T01:33:07
2,C9,H,0,1,2019-12-08T01:33:07
0,U46,C,26,241,2019-12-08T01:33:01
0,U15,C,0,419,2019-12-08T01:32:56
0,U3,C,30,159,2019-12-08T01:33:01
0,U32,C,48,128,2019-12-08T01:33:00
0,B75,C,243,325,2019-12-08T01:32:55
0,U38,C,37,120,2019-12-08T01:31:38
0,U10,C,85,214,2019-12-08T01:30:52
0,C8,C,185,347,2019-12-08T01:32:48
0,J60M,C,536,543,2019-12-08T01:00:10
0,J38,C,507,578,2019-12-08T01:00:10
0,UBKM,C,50,150,2019-12-08T01:32:17
0,UBK2,C,39,200,2019-12-08T01:32:17
0,UBK5,C,83,146,2019-12-08T01:32:08
0,HE8,C,45,76,2016-02-15T15:12:52
0,U17,C,95,427,2019-12-08T01:33:04
0,U4,C,145,259,2019-12-08T01:33:08
0,U1,C,80,500,2019-12-08T01:33:12
0,TGML,C,1,4,2019-12-08T01:33:02
0,BRBL,C,8,12,2019-12-08T01:29:50
0,BL18,C,71,401,2019-12-08T01:33:15
0,BRB1,C,136,170,2019-12-08T01:29:50
0,J61,C,104,779,2019-12-08T01:33:13
0,J73,C,75,694,2019-12-08T01:33:09
0,J74,C,55,367,2019-12-08T01:33:14
0,U39,C,65,248,2019-12-08T01:33:10
0,U40,C,52,288,2019-12-08T01:33:18
0,U41,C,18,28,2019-12-08T01:33:15
0,C3M,C,182,882,2019-12-08T01:33:00
1,C3M,Y,68,354,2019-12-08T01:33:00
2,C3M,H,0,1,2019-12-08T01:33:00
